Blueprint ID,Material Type,Quantity,Material ID,Material Name,Product Name,Product Quantity,Product typeIDs,activity
681,materials,86,38,Nocxium,Clone Grade Beta,1,165,production
682,materials,133,38,Nocxium,Clone Grade Gamma,1,166,production
683,skills,1,3380,Industry,Bantam,1,582,production
683,materials,24000,34,Tritanium,Bantam,1,582,production
683,materials,4500,35,Pyerite,Bantam,1,582,production
683,materials,1875,36,Mexallon,Bantam,1,582,production
683,materials,375,37,Isogen,Bantam,1,582,production
684,skills,1,3380,Industry,Condor,1,583,production
684,materials,32000,34,Tritanium,Condor,1,583,production
684,materials,6000,35,Pyerite,Condor,1,583,production
684,materials,2500,36,Mexallon,Condor,1,583,production
684,materials,500,37,Isogen,Condor,1,583,production
685,skills,1,3380,Industry,Griffin,1,584,production
685,materials,24000,34,Tritanium,Griffin,1,584,production
685,materials,4500,35,Pyerite,Griffin,1,584,production
685,materials,1875,36,Mexallon,Griffin,1,584,production
685,materials,375,37,Isogen,Griffin,1,584,production
686,skills,1,3380,Industry,Osprey,1,620,production
686,materials,405000,34,Tritanium,Osprey,1,620,production
686,materials,135000,35,Pyerite,Osprey,1,620,production
686,materials,27000,36,Mexallon,Osprey,1,620,production
686,materials,7500,37,Isogen,Osprey,1,620,production
686,materials,1125,38,Nocxium,Osprey,1,620,production
686,materials,263,39,Zydrine,Osprey,1,620,production
686,materials,105,40,Megacyte,Osprey,1,620,production
687,skills,1,3380,Industry,Caracal,1,621,production
687,materials,540000,34,Tritanium,Caracal,1,621,production
687,materials,180000,35,Pyerite,Caracal,1,621,production
687,materials,36000,36,Mexallon,Caracal,1,621,production
687,materials,10000,37,Isogen,Caracal,1,621,production
687,materials,1500,38,Nocxium,Caracal,1,621,production
687,materials,350,39,Zydrine,Caracal,1,621,production
687,materials,140,40,Megacyte,Caracal,1,621,production
688,skills,1,3380,Industry,Raven,1,638,production
688,materials,8000000,34,Tritanium,Raven,1,638,production
688,materials,4000000,35,Pyerite,Raven,1,638,production
688,materials,600000,36,Mexallon,Raven,1,638,production
688,materials,400000,37,Isogen,Raven,1,638,production
688,materials,12000,38,Nocxium,Raven,1,638,production
688,materials,6000,39,Zydrine,Raven,1,638,production
688,materials,3000,40,Megacyte,Raven,1,638,production
688,materials,200,57478,Auto-Integrity Preservation Seal,Raven,1,638,production
688,materials,1,57479,Core Temperature Regulator,Raven,1,638,production
688,materials,100,57486,Life Support Backup Unit,Raven,1,638,production
689,skills,1,3380,Industry,Slasher,1,585,production
689,materials,32000,34,Tritanium,Slasher,1,585,production
689,materials,6000,35,Pyerite,Slasher,1,585,production
689,materials,2500,36,Mexallon,Slasher,1,585,production
689,materials,500,37,Isogen,Slasher,1,585,production
690,skills,1,3380,Industry,Probe,1,586,production
690,materials,35200,34,Tritanium,Probe,1,586,production
690,materials,6600,35,Pyerite,Probe,1,586,production
690,materials,2750,36,Mexallon,Probe,1,586,production
690,materials,550,37,Isogen,Probe,1,586,production
691,skills,1,3380,Industry,Rifter,1,587,production
691,materials,32000,34,Tritanium,Rifter,1,587,production
691,materials,6000,35,Pyerite,Rifter,1,587,production
691,materials,2500,36,Mexallon,Rifter,1,587,production
691,materials,500,37,Isogen,Rifter,1,587,production
692,skills,1,3380,Industry,Stabber,1,622,production
692,materials,540000,34,Tritanium,Stabber,1,622,production
692,materials,180000,35,Pyerite,Stabber,1,622,production
692,materials,36000,36,Mexallon,Stabber,1,622,production
692,materials,10000,37,Isogen,Stabber,1,622,production
692,materials,1500,38,Nocxium,Stabber,1,622,production
692,materials,350,39,Zydrine,Stabber,1,622,production
692,materials,140,40,Megacyte,Stabber,1,622,production
693,skills,1,3380,Industry,Tempest,1,639,production
693,materials,8000000,34,Tritanium,Tempest,1,639,production
693,materials,4000000,35,Pyerite,Tempest,1,639,production
693,materials,600000,36,Mexallon,Tempest,1,639,production
693,materials,400000,37,Isogen,Tempest,1,639,production
